timestamp,symbol,open,high,low,close,volume
2020-01-01,AAPL,122.45,125.57,119.8,122.99,2944522
2020-01-01,ABNB,178.33,179.56,175.28,177.48,3035618
2020-01-01,ADBE,130.39,130.51,130.0,130.05,5886149
2020-01-01,AMD,108.51,111.21,107.24,108.91,5696205
2020-01-01,AMZN,84.12,84.14,82.63,83.79,7071903
2020-01-01,BABA,53.9,54.02,53.45,53.7,1182763
2020-01-01,COIN,113.98,116.96,113.83,115.03,3301950
2020-01-01,CRM,77.05,77.15,77.02,77.1,1392964
2020-01-01,CSCO,53.42,53.51,52.7,52.9,6871275
2020-01-01,DIS,87.56,88.39,87.29,88.1,4906768
2020-01-01,GOOGL,175.61,175.78,173.03,174.88,1364976
2020-01-01,INTC,197.73,200.01,196.38,198.25,3153762
2020-01-01,JPM,141.65,149.2,141.39,145.58,694839
2020-01-01,MA,114.48,114.79,113.82,114.11,8650155
2020-01-01,META,66.9,67.15,65.09,66.17,6818262
2020-01-01,MSFT,177.78,179.75,176.97,178.27,3097842
2020-01-01,NFLX,102.85,105.07,102.55,103.11,9660689
2020-01-01,NVDA,92.61,92.61,92.29,92.61,8194879
2020-01-01,ORCL,134.82,135.55,132.62,133.91,5908885
2020-01-01,PYPL,138.54,139.32,136.3,138.08,3399615
2020-01-01,SHOP,156.2,156.85,155.06,156.44,8092410
2020-01-01,SQ,88.91,90.9,88.75,90.34,4171478
2020-01-01,TSLA,106.39,108.63,105.98,107.32,411620
2020-01-01,UBER,114.04,116.39,111.37,113.64,3081699
2020-01-01,V,183.9,184.57,183.69,183.88,2064284
2020-01-02,AAPL,125.35,127.03,124.5,126.48,2622780
2020-01-02,ABNB,177.35,178.83,173.14,176.16,9538863
2020-01-02,ADBE,131.79,132.44,130.35,131.77,7106289
2020-01-02,AMD,110.24,111.51,108.76,110.62,7425848
2020-01-02,AMZN,84.16,84.87,84.04,84.34,8872625
2020-01-02,BABA,52.75,52.97,51.83,52.44,8063277
2020-01-02,COIN,116.21,118.52,115.36,116.61,4362144
2020-01-02,CRM,78.75,80.36,77.68,79.07,3524431
2020-01-02,CSCO,53.28,54.28,52.62,53.36,5851865
2020-01-02,DIS,87.95,89.78,87.04,87.89,8302697
2020-01-02,GOOGL,179.66,181.17,178.2,179.51,4303795
2020-01-02,INTC,193.37,195.46,191.82,193.6,5146449
2020-01-02,JPM,144.85,145.75,143.17,144.37,7768263
2020-01-02,MA,111.85,112.23,111.38,111.66,9458499
2020-01-02,META,65.42,66.37,64.64,65.26,6054691
2020-01-02,MSFT,180.27,180.52,178.71,179.64,5096348
2020-01-02,NFLX,103.31,103.35,103.22,103.32,9536619
2020-01-02,NVDA,93.01,94.02,93.01,93.03,8525557
2020-01-02,ORCL,130.35,132.98,129.84,130.88,7624752
2020-01-02,PYPL,138.84,139.26,138.67,138.71,2172103
2020-01-02,SHOP,155.23,156.37,153.38,155.1,8248100
2020-01-02,SQ,88.26,88.75,88.15,88.23,9300264
2020-01-02,TSLA,108.24,108.46,107.53,107.86,9835808
2020-01-02,UBER,110.24,112.64,110.11,111.38,4239868
2020-01-02,V,182.01,184.45,181.79,182.07,5069986
2020-01-03,AAPL,129.04,129.23,128.81,129.0,6850552
2020-01-03,ABNB,174.54,177.71,173.23,176.15,1415495
2020-01-03,ADBE,128.65,129.09,128.14,128.82,7119609
2020-01-03,AMD,112.21,112.63,112.1,112.3,3714081
2020-01-03,AMZN,81.96,82.51,81.16,81.87,1173337
2020-01-03,BABA,51.72,52.31,51.6,52.14,3289039
2020-01-03,COIN,114.18,115.88,109.83,112.9,2343140
2020-01-03,CRM,81.47,81.77,79.81,80.13,4429539
2020-01-03,CSCO,54.21,54.72,54.01,54.01,3252715
2020-01-03,DIS,84.89,85.1,84.28,84.95,9474835
2020-01-03,GOOGL,185.39,186.69,179.9,182.44,7281111
2020-01-03,INTC,190.79,192.02,189.89,191.83,8331894
2020-01-03,JPM,146.3,146.86,145.82,146.76,8784254
2020-01-03,MA,113.04,113.09,112.79,112.88,9209097
2020-01-03,META,66.49,67.16,66.4,66.58,3585482
2020-01-03,MSFT,184.46,185.05,182.51,183.08,7732349
2020-01-03,NFLX,106.89,107.5,105.72,106.25,3037162
2020-01-03,NVDA,90.64,91.49,90.63,91.26,7164051
2020-01-03,ORCL,134.72,136.64,133.69,134.48,1115228
2020-01-03,PYPL,139.67,140.05,138.62,139.18,245828
2020-01-03,SHOP,156.32,157.62,155.28,155.75,7952403
2020-01-03,SQ,89.51,90.43,85.72,88.18,7662346
2020-01-03,TSLA,108.39,110.07,108.08,109.68,3473114
2020-01-03,UBER,112.43,113.78,111.34,111.78,7711929
2020-01-03,V,181.81,186.19,181.19,183.16,7012695
2020-01-06,AAPL,130.93,131.85,129.9,131.03,6460593
2020-01-06,ABNB,178.91,179.26,171.46,176.16,934419
2020-01-06,ADBE,129.07,129.35,128.89,129.14,6592904
2020-01-06,AMD,112.07,112.57,110.58,111.41,4626604
2020-01-06,AMZN,81.85,82.14,81.03,81.19,6025344
2020-01-06,BABA,52.17,52.46,51.47,51.96,5559730
2020-01-06,COIN,114.52,114.58,111.46,112.93,9123870
2020-01-06,CRM,81.0,82.95,79.57,81.08,3926516
2020-01-06,CSCO,53.85,54.28,53.58,53.81,8048054
2020-01-06,DIS,86.58,86.82,83.91,85.24,4677478
2020-01-06,GOOGL,179.29,181.25,176.96,178.65,1785250
2020-01-06,INTC,195.43,198.72,195.05,195.37,7942321
2020-01-06,JPM,147.5,149.71,143.55,147.34,3187953
